Levelling Depth,Mean Roughness,Profile Depth,Profile Mean,RMS Roughness,Valley Depth,Z,file,Traversal,X
7.721995311652485e-05,2.722440296767597e-05,0.000153551634899,-0.011014507546566,3.3355169344131405e-05,7.633168178323296e-05,0.028076923076923003,xy_gf_2v_XTrav,XTrav,
9.459423548808384e-05,2.5232549030220902e-05,0.00018008880009800002,-0.011018551139056,3.194136554699968e-05,8.5494564610206e-05,0.028846153846153,xy_gf_2v_XTrav,XTrav,
8.602987251476492e-05,2.6552310456001763e-05,0.000170670978607,-0.011011015422011002,3.3453193852543914e-05,8.464110609295722e-05,0.029615384615384002,xy_gf_2v_XTrav,XTrav,
9.428344587590447e-05,2.9182216653331905e-05,0.00021182591503800003,-0.010999964349878,3.6297109765543024e-05,0.00011754246916200001,0.030384615384615003,xy_gf_2v_XTrav,XTrav,
9.641760623345201e-05,2.663031255358793e-05,0.00019810358642900002,-0.011018537788814,3.3176481602348125e-05,0.00010168598019500001,0.031153846153846,xy_gf_2v_XTrav,XTrav,
9.270621143234355e-05,2.6759109964587975e-05,0.00019406410650700003,-0.011024876246542002,3.414634816992738e-05,0.00010135789507500001,0.031923076923076,xy_gf_2v_XTrav,XTrav,
7.62094030956756e-05,2.6947954308500663e-05,0.000158766068193,-0.011018952627315,3.236042815986781e-05,8.255666509740175e-05,0.032692307692307,xy_gf_2v_XTrav,XTrav,
8.909492034815844e-05,3.3522995404150465e-05,0.00019944145388100002,-0.011005841240597001,4.1938339991056946e-05,0.00011034653353300001,0.033461538461538,xy_gf_2v_XTrav,XTrav,
8.785695946060026e-05,2.9201718760660145e-05,0.00021517911912000002,-0.01101571840634,3.7019175204771704e-05,0.00012732215966,0.034230769230769,xy_gf_2v_XTrav,XTrav,
7.404070200142318e-05,2.6772080566224824e-05,0.000163913139682,-0.011019935086542,3.365338250075992e-05,8.987243768085636e-05,0.035,xy_gf_2v_XTrav,XTrav,
8.81785136006858e-05,2.6805029149319594e-05,0.000177859841429,-0.010980683648411,3.4018571877172664e-05,8.968132782850857e-05,0.005,xy_gf_v_XTrav,XTrav,
8.647468077585194e-05,2.220331689183535e-05,0.000172020189946,-0.010998015180744001,2.8882178530186564e-05,8.554550917068936e-05,0.00576923076923,xy_gf_v_XTrav,XTrav,
8.043042659985207e-05,2.6591615917309054e-05,0.000146958635663,-0.011020855172131002,3.2204627586851484e-05,6.65282090631797e-05,0.006538461538461,xy_gf_v_XTrav,XTrav,
0.00010609571395100001,2.9726736838290903e-05,0.000210097399644,-0.011008976705672,3.6634244123577326e-05,0.000104001685692,0.0073076923076920005,xy_gf_v_XTrav,XTrav,
7.844626324317143e-05,2.591373620094376e-05,0.00020986083592800002,-0.010996655026039,3.2516928451680194e-05,0.000131414572685,0.008076923076923,xy_gf_v_XTrav,XTrav,
9.248017750158531e-05,2.294054989461075e-05,0.00017152439792,-0.010984670942014,2.8908970290912912e-05,7.904422041926305e-05,0.008846153846153,xy_gf_v_XTrav,XTrav,
7.238837270629254e-05,2.9555158869982624e-05,0.000184773388552,-0.010997671155126001,3.6254346775569864e-05,0.00011238501584500001,0.009615384615384,xy_gf_v_XTrav,XTrav,
7.504783859851699e-05,2.4879582991251964e-05,0.00019448803565300001,-0.011002543511365,3.033881670206598e-05,0.00011944019705400001,0.010384615384615001,xy_gf_v_XTrav,XTrav,
9.968096223923925e-05,2.4325387795247752e-05,0.00020034204641100002,-0.010988733937425001,3.196559544225971e-05,0.00010066108417200001,0.011153846153846,xy_gf_v_XTrav,XTrav,
7.874139919910457e-05,2.7034589400412034e-05,0.00025775691429800004,-0.011002886486340001,3.4108676981316836e-05,0.00017901551509900003,0.011923076923076,xy_gf_v_XTrav,XTrav,
8.825655576080206e-05,2.634964631209032e-05,0.00019485262242700002,-0.010998427389129001,3.3034983681967264e-05,0.00010659606666600001,0.012692307692307002,xy_gf_v_XTrav,XTrav,
8.380689289171768e-05,2.7189161960432235e-05,0.00017199309218800002,-0.010996104461454001,3.381975977661785e-05,8.818619929717651e-05,0.013461538461538,xy_gf_v_XTrav,XTrav,
9.98455838810211e-05,2.6945579089675786e-05,0.000178471330238,-0.011000778650961001,3.5061870102092856e-05,7.862574635792223e-05,0.014230769230769002,xy_gf_v_XTrav,XTrav,
6.908354550508831e-05,2.3811006799862685e-05,0.00016484887166300002,-0.011001332502231,3.0285273022996113e-05,9.576532615850758e-05,0.015000000000000001,xy_gf_v_XTrav,XTrav,
7.92454250512619e-05,2.681942246722005e-05,0.000210247312306,-0.010997117635625001,3.407844669679413e-05,0.000131001887254,0.01576923076923,xy_gf_v_XTrav,XTrav,
9.51287295627122e-05,2.9511804464418734e-05,0.00019166593441600002,-0.011002947480542001,3.602980339334964e-05,9.653720485416385e-05,0.016538461538461002,xy_gf_v_XTrav,XTrav,
8.863207800646061e-05,2.6804165808279283e-05,0.00022056004519,-0.010997416313276,3.4926165004859843e-05,0.000131927967183,0.017307692307692,xy_gf_v_XTrav,XTrav,
8.370738384178879e-05,2.535079241896937e-05,0.00016177128458700002,-0.010999603015890001,3.212018453436114e-05,7.806390074566356e-05,0.018076923076923,xy_gf_v_XTrav,XTrav,
0.00010145765354,2.7730928703982153e-05,0.00019992626402000002,-0.010998260422143,3.4143335793120254e-05,9.846861048025922e-05,0.018846153846153003,xy_gf_v_XTrav,XTrav,
6.772539716919969e-05,2.6415338642446272e-05,0.00017915016518600001,-0.010992167455927002,3.320407884750308e-05,0.00011142476801600001,0.019615384615384,xy_gf_v_XTrav,XTrav,
9.432602840991901e-05,2.7078219393219833e-05,0.000182091047065,-0.011004631669246001,3.3388034686447094e-05,8.776501865580268e-05,0.020384615384615,xy_gf_v_XTrav,XTrav,
7.287455525541511e-05,2.5842308671122412e-05,0.00017379156520800002,-0.010999883111697,3.2271071782124844e-05,0.00010091700995200001,0.021153846153846002,xy_gf_v_XTrav,XTrav,
9.37381752313237e-05,2.5932375177290455e-05,0.000211430036093,-0.011009130573572001,3.271168056357878e-05,0.000117691860861,0.021923076923076,xy_gf_v_XTrav,XTrav,
8.17261238548351e-05,2.8908795450942672e-05,0.000229098884833,-0.011005025250783,3.5086559401557515e-05,0.000147372760978,0.022692307692307002,xy_gf_v_XTrav,XTrav,
8.551152136269427e-05,2.798923449652568e-05,0.00017473787586700003,-0.011004503902050001,3.3684154224005255e-05,8.922635450508283e-05,0.023461538461538003,xy_gf_v_XTrav,XTrav,
9.652377840472551e-05,2.7564803288871112e-05,0.00018153947044100002,-0.011004632313258001,3.442054273348606e-05,8.501569203682101e-05,0.024230769230769,xy_gf_v_XTrav,XTrav,
7.618014545977826e-05,2.2618962576897583e-05,0.000187344205834,-0.011008881550755,2.930128130603988e-05,0.00011116406037500001,0.025,xy_gf_v_XTrav,XTrav,
8.204435506146794e-05,2.6080507064040452e-05,0.00016995793420700002,-0.011000392938344001,3.278130111440691e-05,8.791357914630926e-05,0.025769230769230003,xy_gf_v_XTrav,XTrav,
9.390926443573339e-05,2.4974868134634213e-05,0.00018826992627000001,-0.011003186597574,3.2747541840154426e-05,9.436066183468768e-05,0.026538461538461,xy_gf_v_XTrav,XTrav,
7.504215211631521e-05,2.589077580466546e-05,0.00015423907687700002,-0.011001024177323002,3.194411006800324e-05,7.919692476092074e-05,0.027307692307692002,xy_gf_v_XTrav,XTrav,
8.003458464260484e-05,2.6893146330995804e-05,0.00018684765682600002,-0.011000595635183,3.3505134600660416e-05,0.00010681307218300001,0.028076923076923003,xy_gf_v_XTrav,XTrav,
7.663581644355016e-05,2.233547003595656e-05,0.00019152127581900002,-0.010998612853801,2.8049482519495512e-05,0.000114885459375,0.028846153846153,xy_gf_v_XTrav,XTrav,
8.135758766450105e-05,2.7763796565042343e-05,0.000205018124327,-0.010997624602436001,3.4736245273188764e-05,0.00012366053666200001,0.029615384615384002,xy_gf_v_XTrav,XTrav,
0.00010124450656600001,2.9143405700107913e-05,0.000250712366658,-0.011009795732576001,3.7420704195461414e-05,0.000149467860092,0.030384615384615003,xy_gf_v_XTrav,XTrav,
0.00012510195142000001,3.2288319535135154e-05,0.000241225958623,-0.011003852477654001,3.9512837588571245e-05,0.00011612400720200001,0.031153846153846,xy_gf_v_XTrav,XTrav,
9.47003992299543e-05,2.81157190696983e-05,0.00020229044705500002,-0.011006754190401001,3.4895633629411056e-05,0.00010759004782500001,0.031923076923076,xy_gf_v_XTrav,XTrav,
